role_name,permission_name
editor,categories.list
editor,categories.show
editor,articles.list
editor,articles.trashed
editor,articles.create
editor,articles.show
editor,articles.update
editor,articles.delete
editor,articles.restore
editor,articles.activities
editor,articles.stats
editor,user.read-history
editor,tags.list
editor,tags.create
editor,tags.show
editor,tags.update
editor,tags.delete
editor,tags.restore
editor,save-articles.list
editor,save-articles.toggle
editor,site-settings.list
editor,site-settings.update
editor,announcements.list
editor,announcements.create
editor,announcements.show
editor,announcements.update
editor,announcements.delete
editor,announcements.publish
editor,notification-preferences.show
editor,notification-preferences.update
editor,user-notifications.list
editor,user-notifications.mark-read
editor,user-notifications.mark-all-read
editor,media.list
editor,media.create
editor,media.show
editor,media.delete
editor,media.bulk-delete
editor,media.signed-params
editor,media.transform
editor,users.profile
editor,users.profile-update
editor,users.reading-analytics
sub_editor,articles.list
sub_editor,articles.show
sub_editor,articles.update
sub_editor,tags.list
sub_editor,tags.show
sub_editor,save-articles.list
sub_editor,save-articles.toggle
sub_editor,notification-preferences.show
sub_editor,notification-preferences.update
sub_editor,user-notifications.list
sub_editor,user-notifications.mark-read
sub_editor,user-notifications.mark-all-read
sub_editor,media.list
sub_editor,media.create
sub_editor,media.show
sub_editor,users.profile
sub_editor,users.profile-update
author,articles.list
author,articles.trashed
author,articles.create
author,articles.show
author,articles.update
author,articles.activities
author,user.read-history
author,categories.list
author,categories.show
author,tags.list
author,tags.show
author,save-articles.list
author,save-articles.toggle
author,notification-preferences.show
author,notification-preferences.update
author,user-notifications.list
author,user-notifications.mark-read
author,user-notifications.mark-all-read
author,media.list
author,media.create
author,media.show
author,media.delete
author,media.bulk-delete
author,media.signed-params
author,media.transform
author,users.profile
author,users.profile-update
journalist,articles.list
journalist,articles.create
journalist,articles.show
journalist,articles.update
journalist,categories.list
journalist,categories.show
journalist,tags.list
journalist,tags.show
journalist,save-articles.list
journalist,save-articles.toggle
journalist,notification-preferences.show
journalist,notification-preferences.update
journalist,user-notifications.list
journalist,user-notifications.mark-read
journalist,user-notifications.mark-all-read
journalist,media.list
journalist,media.create
journalist,media.show
journalist,media.delete
journalist,media.signed-params
journalist,media.transform
journalist,users.profile
journalist,users.profile-update
user,save-articles.list
user,save-articles.toggle
user,notification-preferences.show
user,notification-preferences.update
user,user-notifications.list
user,user-notifications.mark-read
user,user-notifications.mark-all-read
user,media.list
user,media.create
user,media.show
user,media.delete
user,media.bulk-delete
user,media.signed-params
user,media.transform
user,users.profile
user,users.profile-update
user,user.read-history
user,users.reading-analytics
writer,articles.list
writer,articles.trashed
writer,articles.create
writer,articles.show
writer,articles.update
writer,articles.activities
writer,user.read-history
writer,categories.list
writer,categories.show
writer,tags.list
writer,tags.show
writer,save-articles.list
writer,save-articles.toggle
writer,notification-preferences.show
writer,notification-preferences.update
writer,user-notifications.list
writer,user-notifications.mark-read
writer,user-notifications.mark-all-read
writer,media.list
writer,media.create
writer,media.show
writer,media.delete
writer,media.bulk-delete
writer,media.signed-params
writer,media.transform
writer,users.profile
writer,users.profile-update
writer,users.reading-analytics
moderator,articles.list
moderator,articles.show
moderator,articles.update
moderator,articles.activities
moderator,categories.list
moderator,categories.show
moderator,tags.list
moderator,tags.show
moderator,users.list
moderator,users.show
moderator,users.article-activities
moderator,notification-preferences.show
moderator,notification-preferences.update
moderator,user-notifications.list
moderator,user-notifications.mark-read
moderator,user-notifications.mark-all-read
moderator,users.profile
moderator,users.profile-update
subscriber,save-articles.list
subscriber,save-articles.toggle
subscriber,notification-preferences.show
subscriber,notification-preferences.update
subscriber,user-notifications.list
subscriber,user-notifications.mark-read
subscriber,user-notifications.mark-all-read
subscriber,media.list
subscriber,media.create
subscriber,media.show
subscriber,media.delete
subscriber,media.bulk-delete
subscriber,media.signed-params
subscriber,media.transform
subscriber,users.profile
subscriber,users.profile-update
subscriber,user.read-history
subscriber,users.reading-analytics
editor,comments.create
editor,comments.list
editor,comments.approve
editor,comments.reject
editor,comments.delete
sub_editor,comments.create
sub_editor,comments.list
sub_editor,comments.approve
sub_editor,comments.reject
sub_editor,comments.delete
author,comments.create
journalist,comments.create
writer,comments.create
user,comments.create
subscriber,comments.create
moderator,comments.create
moderator,comments.list
moderator,comments.approve
moderator,comments.reject
moderator,comments.delete
